# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2060
#@/user_id	fcec34f3-dfd0-45c0-8899-0d6cff196569
jiang 	將	c=1 d=1 t=311
jiang 	講	c=3 d=1.01834 t=1282
jiang jie 	講解	c=1 d=1 t=808
jiang shi 	殭屍	c=1 d=1 t=418
jiao 	叫	c=4 d=2.83588 t=1852
jiao huo 	交貨	c=1 d=1 t=157
jiao wo 	叫我	c=1 d=1 t=423
jie jie 	姐姐	c=6 d=1.72529 t=1543
jie pan 	接盤	c=1 d=1 t=262
jie shang 	街上	c=1 d=1 t=1098
jie shi 	解釋	c=1 d=1 t=1782
jie shu 	結束	c=1 d=1 t=1886
jin jiu 	金酒	c=1 d=1 t=1046
jin lai 	進來	c=1 d=1 t=977
jin tian 	今天	c=3 d=1.21417 t=1285
jin zhang 	緊張	c=1 d=1 t=397
jing chang 	經常	c=2 d=1.0246 t=1957
jing jing 	靜靜	c=1 d=1 t=1242
jing li 	經歷	c=1 d=1 t=762
jing tong 	精通	c=2 d=1.956 t=789
jiu 	就	c=30 d=4.44859 t=1949
jiu hao 	就好	c=1 d=1 t=1616
jiu hui 	就會	c=1 d=1 t=355
jiu jie 	糾結	c=1 d=1 t=1754
jiu rang 	就讓	c=1 d=1 t=384
jiu shi 	就是	c=10 d=1.59738 t=1981
jiu shuo 	就說	c=1 d=1 t=1708
jiu ya 	就呀	c=1 d=1 t=638
jiu yao 	就要	c=2 d=1.74082 t=643
ju ji 	聚集	c=1 d=1 t=851
ju zhen 	矩陣	c=1 d=1 t=1843
jue de 	覺得	c=12 d=1.54351 t=2051
jun shi 	軍事	c=1 d=1 t=2058
kai fa 	開發	c=1 d=1 t=1643
kai xin 	開心	c=0 d=0.1 t=1311
kan 	看	c=11 d=2.04918 t=1504
kan dao 	看到	c=4 d=1.06349 t=2023
kan zhe 	看着	c=1 d=1 t=168
kao 	考	c=3 d=1.57591 t=1484
kao lv 	考慮	c=1 d=1 t=337
ke 	可	c=2 d=1.54064 t=220
ke ke 	可可	c=1 d=1.0208 t=467
ke ke ai ai 	可可愛愛	c=2 d=1.99501 t=155
ke neng 	可能	c=2 d=1.45612 t=1124
ke pu 	科普	c=1 d=1 t=753
ke shi 	可是	c=1 d=1 t=881
ke shi 	科室	c=2 d=1.81873 t=880
ke yi 	可以	c=13 d=5.8766 t=1959
ken ding 	肯定	c=1 d=1 t=1490
ku 	哭	c=2 d=1.01742 t=874
ku ai jiu 	苦艾酒	c=1 d=1 t=1047
kua kao 	跨靠	c=1 d=1 t=1232
kuai 	快	c=1 d=1 t=2038
kuai dian 	快點	c=1 d=1 t=1873
kuai qian 	塊錢	c=1 d=1 t=159
kun 	困	c=1 d=1 t=998
la 	辣	c=1 d=1 t=232
lai 	來	c=3 d=1.10824 t=2039
lai ren 	來人	c=1 d=1 t=963
lan 	爛	c=1 d=1 t=1523
lan zhou 	蘭州	c=1 d=1 t=45
lan zhou da xue 	蘭州大學	c=0 d=0.1 t=502
lan zhou da xue de 	蘭州大學的	c=1 d=1 t=503
lao 	老	c=4 d=1.20643 t=1103
lao shi ren 	老實人	c=1 d=1 t=260
le 	了	c=94 d=6.92388 t=2060
lei si 	累死	c=1 d=1 t=987
lei si yu 	類似於	c=1 d=1 t=208
li jie 	理解	c=1 d=1 t=1824
li mian 	裏面	c=1 d=1 t=1841
li pu 	離譜	c=1 d=1 t=1559
li suo dang ran 	理所當然	c=1 d=1 t=1677
lian 	連	c=1 d=1 t=478
lian jie 	鏈接	c=1 d=1 t=487
liang ce 	兩側	c=1 d=1 t=1928
liao 	聊	c=2 d=1.79057 t=992
liao mei 	撩妹	c=1 d=1 t=226
liao tian 	聊天	c=1 d=1 t=1738
liu zhe 	留着	c=1 d=1 t=660
long she lan 	龍舌蘭	c=1 d=1 t=1048
lu 	路	c=0 d=0.1 t=41
lun wen 	論文	c=2 d=1.00053 t=2059
lv cha 	綠茶	c=1 d=1 t=186
lv hua 	綠化	c=0 d=0.1 t=180
lv hua ca 	綠化擦	c=1 d=1 t=181
ma 	嗎	c=4 d=1 t=2060
ma 	嘛	c=8 d=1.02767 t=2022
ma 	碼	c=5 d=2.78371 t=2006
ma fan 	麻煩	c=2 d=1.9802 t=1983
ma yun 	馬雲	c=1 d=1 t=1154
mai 	買	c=5 d=1.97913 t=1924
mai 	賣	c=4 d=2.91432 t=763
man 	蠻	c=1 d=1 t=1585
mao 	貓	c=1 d=1 t=1056
mei 	沒	c=15 d=0.995012 t=2060
mei guo ren 	美國人	c=1 d=1 t=1773
mei jian 	沒見	c=1 d=1 t=389
mei mei 	妹妹	c=3 d=2.46436 t=1399
mei ren 	沒人	c=1 d=1 t=422
mei sha 	沒啥	c=2 d=1.72979 t=1359
mei shen me 	沒什麼	c=1 d=1 t=1866
mei sheng yin 	沒聲音	c=1 d=1 t=1557
mei shi 	沒事	c=3 d=1.45969 t=1219
mei shi gan 	沒事幹	c=2 d=1.00007 t=1940
mei tian 	每天	c=2 d=1.01145 t=1837
mei xi tou 	沒洗頭	c=1 d=1 t=1086
mei you 	沒有	c=10 d=1.59857 t=1975
mei zi 	妹子	c=1 d=0.484812 t=420
men 	們	c=1 d=1 t=1553
mi hu 	迷糊	c=1 d=1 t=174
miao 	喵	c=1 d=1 t=126
miao shu 	描述	c=1 d=1 t=1701
ming 	明	c=1 d=1 t=211
ming bai 	明白	c=1 d=1 t=650
ming tian 	明天	c=1 d=1 t=803
ming yi 	名義	c=1 d=1 t=669
mo sheng 	陌生	c=1 d=1 t=1598
na 	娜	c=2 d=1.99501 t=677
na 	拿	c=1 d=1 t=674
na 	那	c=17 d=3.89612 t=2026
na ge 	哪個	c=1 d=1 t=844
na ge 	那個	c=9 d=3.84127 t=1945
na jiu 	那就	c=1 d=1 t=563
na li 	哪裏	c=1 d=1 t=1015
na li 	那裏	c=1 d=1 t=1327
na me 	那麼	c=1 d=1 t=344
na ni 	納尼	c=4 d=2.88086 t=2025
na zhong 	哪種	c=1 d=1 t=1022
na zhong 	那種	c=4 d=1.00847 t=1908
nan dao 	難道	c=1 d=1 t=291
nan du 	難度	c=1 d=1 t=845
nan hai zi 	男孩子	c=1 d=1 t=277
nan ren 	男人	c=1 d=1 t=1461
